as_of,sleeve,call,dist_pct,confidence,close,next_close,next_ret_pct,result,scored_on,source
2015-11-23,GLD,HELD,-6.96,HIGH,102.26,102.94,0.665,RIGHT,2015-11-24,BACKFILL
2015-11-23,QQQ,LONG,5.15,HIGH,105.6,105.51,-0.085,WRONG,2015-11-24,BACKFILL
2015-11-24,BTC,LONG,22.56,HIGH,320.05,328.21,2.55,RIGHT,2015-11-25,BACKFILL
2015-11-24,GLD,HELD,-6.27,HIGH,102.94,102.46,-0.466,WRONG,2015-11-25,BACKFILL
2015-11-24,QQQ,LONG,5.03,HIGH,105.51,105.6,0.085,RIGHT,2015-11-25,BACKFILL
2015-11-25,BTC,LONG,25.37,HIGH,328.21,358.04,9.089,RIGHT,2015-11-27,BACKFILL
2015-11-25,GLD,HELD,-6.65,HIGH,102.46,101.25,-1.181,WRONG,2015-11-27,BACKFILL
2015-11-25,QQQ,LONG,5.09,HIGH,105.6,105.75,0.142,RIGHT,2015-11-27,BACKFILL
2015-11-27,BTC,LONG,36.32,HIGH,358.04,377.32,5.385,RIGHT,2015-11-30,BACKFILL
2015-11-27,GLD,HELD,-7.67,HIGH,101.25,101.92,0.662,RIGHT,2015-11-30,BACKFILL
2015-11-27,QQQ,LONG,5.21,HIGH,105.75,105.48,-0.255,WRONG,2015-11-30,BACKFILL
